"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"R9,R7,R8,R10";"R_0805_2012Metric";4;"100";;;
2;"U1";"TSSOP-20_4.4x6.5mm_P0.65mm";1;"STM32F042F6Px";;;
3;"BOOT1";"R_0805_2012Metric";1;"0R";;;
4;"R1,R2,R11,R12,R13,R14";"R_0805_2012Metric";6;"10K";;;
5;"C1,C3";"C_0805_2012Metric";2;"0.1uF";;;
6;"C2,C4";"C_0805_2012Metric";2;"4.7uF";;;
7;"C5,C6";"C_0805_2012Metric";2;"10uF";;;
8;"D1,D2,D3,D4,D5,D6,D7";"LED_0805_2012Metric";7;"LED";;;
9;"J1";"USB_Micro-B_Molex-105017-0001";1;"USB_B_Micro";;;
10;"J3";"PinHeader_2x04_P2.54mm_Horizontal";1;"Conn_02x04_Odd_Even";;;
11;"J5";"1x02_ScrewTerminal_Phoenix";1;"Vin";;;
12;"J6";"1x02_ScrewTerminal_Phoenix";1;"HotEnd";;;
13;"J8";"JST_XH_B2B-XH-AM_1x02_P2.50mm_Vertical";1;"Conn_01x02";;;
14;"J12";"PinHeader_1x03_P2.54mm_Vertical";1;"Conn_01x03";;;
15;"R3,R21";"R_0805_2012Metric";2;"1K";;;
16;"R15,R16,R17,R18,R19,R20,R22";"R_0805_2012Metric";7;"4.7K";;;
17;"SW2";"2PinTactileButton";1;"SW_SPST";;;
18;"U2";"SOT-23-5";1;"AP2127K-3.3";;;
19;"F1";"Fuse_Littelfuse-LVR200";1;"Fuse";;;
20;"J13,J14";"PinHeader_1x02_P2.54mm_Vertical";2;"Conn_01x02";;;
21;"Q1,Q2,Q3,Q4";"SOT-23";4;"IRLML6344TRPBF";;;
